id,name,area,genre,type,detail,description,image_url,address,open_hours
5dae1206-6f0f-4769-8d6d-79a3048146fd,teamLab Borderless (Azabudai Hills),"[""六本木"",""麻布十番"",""乃木坂""]","[""美術館"",""ミュージアム"",""写真映え""]",室内,"[""雨の日OK"",""写真映えする"",""デート向き"",""にぎやかで楽しい""]",麻布台ヒルズにある没入型デジタルアートミュージアム。作品が空間を越境して移動し続ける体験型展示。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"Azabudai Hills Garden Plaza B B1, 1-2-4 Azabudai, Minato-ku, Tokyo 106-0041",日程により異なるため公式サイトを参照
df968888-f48f-4582-895e-12ec092dc3de,teamLab Planets TOKYO DMM.com,"[""お台場"",""豊洲"",""湾岸エリア""]","[""美術館"",""ミュージアム"",""写真映え""]",室内,"[""雨の日OK"",""写真映えする"",""デート向き"",""にぎやかで楽しい""]",豊洲にある“水に入るミュージアム”。光と花に包まれる体験型展示が人気。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"Toyosu 6-1-16, Koto-ku, Tokyo 135-0061",日程により異なるため公式サイトを参照
8f26fcd1-a8f0-4f26-9676-12fc3aed2efd,SHIBUYA SKY（渋谷スカイ）,"[""渋谷""]","[""夜景"",""写真映え""]",屋外,"[""写真映えする"",""デート向き"",""夜の雰囲気が良い"",""にぎやかで楽しい""]",渋谷スクランブルスクエア屋上の展望空間。渋谷上空から360°の眺望を楽しめる。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"Shibuya Scramble Square 14F/45F/46F & Rooftop, 2-24-12 Shibuya, Shibuya-ku, Tokyo 150-0002",10:00–22:30（最終入場21:20）※変更の可能性あり。最新情報は公式サイトを参照
00c6c4fd-0b1e-455f-aa00-725985c09a7d,TOKYO SKYTREE（東京スカイツリー）,"[""押上"",""両国"",""錦糸町""]","[""夜景"",""写真映え""]",室内,"[""写真映えする"",""デート向き"",""にぎやかで楽しい""]",高さ634mの電波塔。ガラス床や展望回廊から東京の夜景を一望できる。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"1-1-2 Oshiage, Sumida-ku, Tokyo",原則10:00–22:00（最終入場21:00）。イベント等で変更あり。最新情報は公式サイトを参照
78a93f63-8a7c-4b15-9c44-afd313b16b4d,すみだ水族館（Sumida Aquarium）,"[""押上"",""両国"",""錦糸町""]","[""水族館""]",室内,"[""雨の日OK"",""静かに過ごせる"",""デート向き""]",東京スカイツリータウン・ソラマチ内の都市型水族館。ペンギンやクラゲ展示が充実。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"5–6F, TOKYO SKYTREE TOWN Solamachi, 1-2 Oshiage 1-chome, Sumida-ku, Tokyo 131-0045",平日10:00–20:00／土日祝9:00–21:00（最終入館は閉館1時間前）※変更の場合あり
b6aade6a-a3de-4d1d-80e2-63f2ff7e2d11,サンシャイン水族館（Sunshine Aquarium）,"[""池袋"",""目白""]","[""水族館""]",室内,"[""雨の日OK"",""静かに過ごせる"",""デート向き""]",池袋・サンシャインシティの屋上にある水族館。空飛ぶペンギンなど都市型ならではの展示。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"Rooftop of World Import Mart Building, Sunshine City, 3-1 Higashi-Ikebukuro, Toshima-ku, Tokyo 170-8630",営業カレンダーにより変動。最新情報は公式サイトを参照
0728cf09-6dcf-40f0-97ed-1f1770f68044,森美術館（Mori Art Museum）,"[""六本木"",""麻布十番"",""乃木坂""]","[""美術館"",""ミュージアム""]",室内,"[""雨の日OK"",""静かに過ごせる"",""デート向き""]",六本木ヒルズ森タワー53Fにある現代美術のミュージアム。夜間開館のある展示も多い。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"53F Roppongi Hills Mori Tower, 6-10-1 Roppongi, Minato-ku, Tokyo",基本10:00–22:00（火曜17:00）※展覧会により異なるため公式サイトを参照
0282202f-79a7-48dd-9542-16641bdce8f0,"国立新美術館（The National Art Center, Tokyo）","[""六本木"",""麻布十番"",""乃木坂""]","[""美術館"",""ミュージアム""]",室内,"[""雨の日OK"",""静かに過ごせる"",""デート向き""]",日本最大級の展示スペースを持つ美術館。公募展や企画展を中心に開催。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"7-22-2 Roppongi, Minato-ku, Tokyo 106-8558",10:00–18:00（金土は20:00まで）、火曜休館（会期により変更あり）
bda5ef09-383e-4e6f-8fba-7191ff787c19,浜離宮恩賜庭園（Hama-rikyu Gardens）,"[""汐留"",""新橋"",""浜松町""]","[""庭園"",""公園"",""自然""]",屋外,"[""静かに過ごせる"",""散歩におすすめ"",""写真映えする"",""デート向き""]",海水の潮入の池と二つの鴨場を持つ江戸の大名庭園。高層ビル群と庭園の対比が美しい。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"1-1, Hama Rikyu-teien, Chuo-ku, Tokyo 104-0046",9:00–17:00（最終入園16:30）※季節・行事で変更の場合あり。最新情報は公式サイトを参照
8b0c4f16-9bb5-419f-8fa7-a6c6db127ec1,新宿御苑（Shinjuku Gyoen National Garden）,"[""新宿"",""代々木""]","[""庭園"",""公園"",""自然""]",屋外,"[""静かに過ごせる"",""散歩におすすめ"",""写真映えする"",""デート向き""]",フランス式整形庭園・イギリス風景式庭園・日本庭園が融合した都市のオアシス。,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb,"11 Naito-machi, Shinjuku-ku, Tokyo 160-0014",季節により開園時間が異なるため公式サイトを参照
